country,club,player,playerShort,birthday,height,weight,position,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,pos_cat
Spain,Deportivo La Coruña,Diogo Salomão,diogo-salomao,14.09.1988,175,70,missing,79,45,11,23,11,6,0,0,Missing
France,Évian Thonon Gaillard,Djakaridja Koné,djakaridja-kone,22.07.1986,183,80,Defensive Midfielder,138,62,34,42,6,26,0,1,Midfielder
France,AS Nancy,Djamel Bakar,djamel-bakar,06.04.1989,171,69,Right Winger,171,44,56,71,17,8,0,2,Forward
England,Queens Park Rangers,Djibril Cissé,djibril-cisse,12.08.1981,183,78,Center Forward,545,263,115,167,222,47,0,3,Forward
France,Lille OSC,Djibril Sidibé,djibril-sidibe_2,29.07.1992,182,71,Right Fullback,80,42,21,17,3,15,1,0,Defender
Germany,SpVgg Greuther Fürth,Djiby Fall,djiby-fall,20.04.1985,187,75,Center Forward,123,46,32,45,53,19,0,1,Forward
Germany,Bor. Mönchengladbach,Domínguez,dominguez_4,16.05.1989,189,83,Left Fullback,196,89,48,59,10,46,3,0,Defender
England,Reading FC,Dominic Samuel,dominic-samuel,01.04.1994,182,NA,missing,4,0,0,4,0,0,0,0,Missing
Germany,FC Augsburg,Dominik Reinhardt,dominik-reinhardt,19.12.1984,188,78,Right Fullback,215,81,58,76,2,27,0,0,Defender
France,SC Bastia,Dominique Agostini,dominique-agostini,28.09.1989,177,76,missing,13,6,3,4,0,1,0,0,Missing
England,Sunderland AFC,Dong-Won Ji,dong-won-ji,28.05.1991,187,78,Center Forward,121,48,26,47,26,6,0,0,Forward
England,Liverpool FC,Doni,doni,22.10.1979,194,89,Goalkeeper,218,118,47,53,0,12,0,2,Defender
Spain,Real Betis,Dorado,dorado_2,10.07.1982,180,69,Left Fullback,191,80,50,61,3,19,0,2,Defender
Germany,Eintracht Frankfurt,Dorge Kouemaha,dorge-kouemaha,28.06.1983,188,86,Center Forward,188,74,58,56,56,31,1,2,Forward
Germany,Fortuna Düsseldorf,Du-Ri Cha,du-ri-cha,25.07.1980,181,81,Right Fullback,368,150,78,140,22,24,0,2,Defender
Spain,Málaga CF,Duda,duda_2,27.06.1980,175,71,Left Midfielder,330,131,80,119,37,77,3,5,Midfielder
Spain,RCD Mallorca,Dudu Aouate,dudu-aouate,17.10.1977,188,87,Goalkeeper,393,135,101,157,0,29,1,3,Defender
France,Valenciennes FC,Dusan Đurić,dusan-djuric,16.09.1984,180,73,Attacking Midfielder,171,80,34,57,33,16,0,0,Midfielder
England,West Ham United,Dylan Tombides,dylan-tombides,08.03.1994,180,NA,Center Forward,5,1,1,3,1,0,0,1,Forward
Spain,CA Osasuna,Echaide,echaide,05.01.1988,179,78,Center Back,103,33,28,42,3,24,2,1,Defender
France,Stade Brest,Eden Ben Basat,eden-ben-basat,08.09.1986,185,69,Center Forward,99,31,30,38,29,14,0,0,Forward
England,Chelsea FC,Eden Hazard,eden-hazard,07.01.1991,170,69,Right Winger,327,168,85,74,76,16,0,1,Forward
Germany,SpVgg Greuther Fürth,Edgar Prib,edgar-prib,15.12.1989,180,77,Center Midfielder,186,72,46,68,18,32,1,1,Midfielder
England,Manchester City,Edin Džeko,edin-dzeko,17.03.1986,193,84,Center Forward,360,188,70,102,182,41,0,0,Forward
France,FC Sochaux,Edouard Butin,edouard-butin,13.06.1988,180,73,Center Forward,85,25,23,37,11,3,0,0,Forward
Spain,Real Zaragoza,Edu Oriol,edu-oriol,05.11.1986,176,72,Left Winger,76,32,17,27,8,7,0,0,Forward
Germany,SpVgg Greuther Fürth,Edu,edu_4,30.11.1981,185,90,Center Forward,221,80,60,81,51,28,0,0,Forward
France,AC Ajaccio,Eduardo,eduardo_3,05.08.1980,178,68,Center Forward,227,76,78,73,56,16,0,1,Forward
England,Manchester City,Eirik Johansen,eirik-johansen,12.07.1992,200,95,Goalkeeper,15,5,2,8,0,0,0,0,Defender
Spain,Athletic Bilbao,Ekiza,ekiza,06.03.1988,180,73,Center Back,82,35,19,28,0,8,1,0,Defender
Spain,Málaga CF,Eliseu,eliseu,01.10.1983,177,74,Left Midfielder,222,84,52,86,27,49,1,3,Midfielder
Germany,Werder Bremen,Eljero Elia,eljero-elia,13.02.1987,176,77,Left Winger,296,119,76,101,36,28,1,0,Forward
Germany,1. FSV Mainz 05,Elkin Soto,elkin-soto,04.08.1980,179,76,Defensive Midfielder,237,106,57,74,18,23,1,1,Midfielder
England,Norwich City,Elliott Bennett,elliott-bennett,18.12.1988,175,68,Right Midfielder,164,66,44,54,16,20,0,0,Midfielder
England,Norwich City,Elliott Ward,elliott-ward,19.01.1985,185,83,Center Back,281,106,74,101,22,39,1,0,Defender
France,ESTAC Troyes,Eloge Enza Yamissi,eloge-enza-yamissi,23.01.1983,175,70,missing,186,56,48,82,3,24,2,3,Missing
Spain,Real Sociedad,Elustondo,elustondo_2,18.03.1987,184,79,Defensive Midfielder,123,48,35,40,5,18,2,0,Midfielder
France,Montpellier HSC,Emanuel Herrera,emanuel-herrera,13.04.1987,186,NA,Center Forward,90,31,25,34,27,4,0,0,Forward
Germany,VfL Wolfsburg,Emanuel Pogatetz,emanuel-pogatetz,16.01.1983,189,90,Center Back,429,152,114,163,13,79,2,3,Defender
Spain,CA Osasuna,Emiliano Armenteros,emiliano-armenteros,18.01.1986,179,78,Left Midfielder,259,93,64,102,46,54,1,4,Midfielder
Spain,Sevilla FC,Emir Spahić,emir-spahic,18.08.1980,185,80,Center Back,267,112,66,89,13,84,5,3,Defender
England,Tottenham Hotspur,Emmanuel Adebayor,emmanuel-adebayor,26.02.1984,190,75,Center Forward,450,234,116,100,170,43,1,5,Forward
England,Southampton FC,Emmanuel Mayuka,emmanuel-mayuka,21.11.1990,176,71,missing,143,46,39,58,34,12,0,0,Missing
France,Toulouse FC,Emmanuel Riviere,emmanuel-riviere,03.03.1990,182,76,Center Forward,175,71,49,55,46,11,0,0,Forward
England,Wigan Athletic,Emmerson Boyce,emmerson-boyce,24.09.1979,183,78,Center Back,358,120,88,150,14,33,1,0,Defender
Spain,Atlético Madrid,Emre Belözoğlu,emre-beloezoglu,07.09.1980,170,68,Center Midfielder,465,241,103,121,43,100,5,4,Midfielder
Germany,Bayern München,Emre Can,emre-can,12.01.1994,184,82,Center Midfielder,117,60,23,34,11,34,1,0,Midfielder
England,Aston Villa,Enda Stevens,enda-stevens,09.07.1990,183,74,Left Fullback,49,12,9,28,0,8,0,0,Defender
France,FC Lorient,Enzo Reale,enzo-reale,07.10.1991,175,69,Right Midfielder,57,20,14,23,8,8,0,0,Midfielder
Germany,1899 Hoffenheim,Eren Derdiyok,eren-derdiyok,12.06.1988,190,83,Center Forward,288,133,71,84,70,27,1,0,Forward
Spain,FC Barcelona,Éric Abidal,eric-abidal,11.09.1979,186,75,Left Fullback,457,268,107,82,2,34,0,4,Defender
France,OGC Nice,Eric Bauthéac,eric-bautheac,24.08.1987,168,65,Left Winger,135,53,35,47,22,22,0,0,Forward
England,Aston Villa,Eric Lichaj,eric-lichaj,17.11.1988,183,82,missing,109,40,32,37,3,22,0,1,Missing
France,Évian Thonon Gaillard,Eric Tié Bi,eric-tie-bi,20.07.1990,189,NA,Defensive Midfielder,89,33,25,31,0,15,0,1,Midfielder
Germany,Eintracht Frankfurt,Erik Wille,erik-wille,28.03.1993,183,74,Center Back,104,42,13,49,16,14,0,2,Defender
Germany,Eintracht Frankfurt,Erwin Hoffer,erwin-hoffer,14.04.1987,177,72,Center Forward,274,120,61,93,89,23,0,0,Forward
France,Toulouse FC,Étienne Capoue,etienne-capoue,11.07.1988,189,75,Defensive Midfielder,216,87,54,75,15,52,2,0,Midfielder
France,Toulouse FC,Etienne Didot,etienne-didot,24.07.1983,175,65,Defensive Midfielder,347,133,94,120,14,44,3,0,Midfielder
Germany,1. FSV Mainz 05,Eugen Polanski,eugen-polanski,17.03.1986,183,73,Attacking Midfielder,254,96,63,95,9,65,1,2,Midfielder
Spain,Deportivo La Coruña,Evaldo,evaldo,18.03.1982,183,80,Left Fullback,210,98,51,61,6,28,1,0,Defender
Germany,Fortuna Düsseldorf,Evans Nyarko,evans-nyarko,06.07.1992,182,79,Defensive Midfielder,127,48,27,52,7,9,1,0,Midfielder
Spain,Valencia CF,Éver Banega,ever-banega,29.06.1988,174,71,Defensive Midfielder,311,161,75,75,15,75,4,1,Midfielder
France,Paris Saint-Germain,Ezequiel Lavezzi,ezequiel-lavezzi,03.05.1985,173,71,Center Forward,397,196,97,104,97,62,0,4,Forward
Germany,SC Freiburg,Ezequiel,ezequiel_3,12.01.1991,169,59,Left Midfielder,85,36,19,30,3,11,0,1,Midfielder
England,Aston Villa,Fabian Delph,fabian-delph,21.11.1989,174,60,Left Midfielder,118,42,27,49,8,35,0,0,Midfielder
Germany,Fortuna Düsseldorf,Fabian Giefer,fabian-giefer,17.05.1990,196,93,Goalkeeper,136,48,33,55,0,9,0,2,Defender
Germany,1899 Hoffenheim,Fabian Johnson,fabian-johnson,11.12.1987,178,64,Left Fullback,276,95,75,106,12,8,0,0,Defender
Spain,Granada CF,Fabián Orellana,fabian-orellana,27.01.1986,169,70,Right Winger,251,103,57,91,46,37,3,5,Forward
France,FC Lorient,Fabien Audard,fabien-audard,28.03.1978,188,89,Goalkeeper,240,76,79,85,0,11,0,5,Defender
France,ESTAC Troyes,Fabien Camus,fabien-camus,28.02.1985,176,68,Left Midfielder,267,104,65,98,36,28,3,1,Midfielder
France,OGC Nice,Fabien Dao Castellana,fabien-dao-castellana,28.07.1993,169,61,Defensive Midfielder,2,0,1,1,0,0,0,0,Midfielder
France,AS Saint-Étienne,Fabien Lemoine,fabien-lemoine,16.03.1987,175,65,Defensive Midfielder,209,93,64,52,4,41,1,1,Midfielder
France,FC Lorient,Fabien Robert,fabien-robert,06.01.1989,174,66,Right Winger,67,14,18,35,5,10,0,0,Forward
England,Liverpool FC,Fabio Borini,fabio-borini,23.03.1991,180,73,Center Forward,119,53,25,41,32,17,1,0,Forward
Spain,Real Madrid,Fábio Coentrão,fabio-coentrao,11.03.1988,179,70,Left Fullback,242,149,38,55,16,51,5,1,Defender
England,Queens Park Rangers,Fábio,fabio_13,09.07.1990,172,65,Left Fullback,94,47,18,29,4,14,0,2,Defender
France,OGC Nice,Fabrice Abriel,fabrice-abriel,06.07.1979,176,69,Right Midfielder,259,105,79,75,13,16,0,0,Midfielder
France,Olympique Marseille,Fabrice Apruzesse,fabrice-apruzesse,08.05.1985,169,65,Center Forward,1,0,0,1,0,1,0,0,Forward
France,AC Ajaccio,Fabrice Begeorgi,fabrice-begeorgi,20.04.1987,177,74,Right Fullback,91,31,32,28,4,15,1,1,Defender
France,Évian Thonon Gaillard,Fabrice Ehret,fabrice-ehret,28.09.1979,184,73,Left Midfielder,305,102,82,121,14,35,2,4,Midfielder
France,ESTAC Troyes,Fabrice N'Sakala,fabrice-nsakala,21.07.1990,178,69,missing,118,42,33,43,1,18,2,1,Missing
England,Newcastle United,Fabricio Coloccini,fabricio-coloccini,22.01.1982,183,76,Center Back,463,192,110,161,18,75,4,3,Defender
Germany,VfL Wolfsburg,Fágner,fagner,11.06.1989,168,67,Right Fullback,151,64,46,41,8,27,0,1,Defender
France,Girondins Bordeaux,Fahid Ben Khalfallah,fahid-ben-khalfallah,09.10.1982,174,68,Right Midfielder,184,63,57,64,13,23,0,0,Midfielder
Germany,SC Freiburg,Fallou Diagné,fallou-diagne,14.08.1989,185,75,Center Back,124,49,35,40,6,25,0,4,Defender
France,AS Saint-Étienne,Faouzi Ghoulam,faouzi-ghoulam,01.02.1991,186,80,missing,115,46,35,34,1,11,0,1,Missing
Spain,Villarreal CF,Farinós,farinos,29.03.1978,173,66,Defensive Midfielder,398,174,105,119,37,90,3,1,Midfielder
England,Swindon Town,Federico Bessone,federico-bessone,23.01.1984,179,72,Left Fullback,69,26,21,22,1,5,0,0,Defender
Spain,Sevilla FC,Federico Fazio,federico-fazio,17.03.1987,195,90,Center Back,206,104,46,56,15,40,2,2,Defender
England,Manchester United,Federico Macheda,federico-macheda,22.08.1991,185,72,Center Forward,112,39,21,52,19,11,0,0,Forward
France,AC Ajaccio,Felipe Saad,felipe-saad,11.09.1983,187,83,missing,97,33,32,32,1,21,1,1,Missing
Germany,Borussia Dortmund,Felipe Santana,felipe-santana,17.03.1986,194,80,Center Back,176,92,41,43,14,19,1,0,Defender
Germany,Hannover 96,Felipe,felipe_19,15.05.1987,193,85,Center Back,116,46,33,37,6,31,0,2,Defender
Germany,SpVgg Greuther Fürth,Felix Klaus,felix-klaus,13.09.1992,179,79,Right Midfielder,147,64,32,51,29,20,0,0,Midfielder
Germany,Werder Bremen,Felix Kroos,felix-kroos,12.03.1991,184,70,Attacking Midfielder,157,43,50,64,19,38,1,1,Midfielder
Germany,VfL Wolfsburg,Ferhan Hasani,ferhan-hasani,18.06.1990,188,67,missing,46,16,12,18,6,5,0,0,Missing
Spain,Valencia CF,Fernando Gago,fernando-gago,10.04.1986,178,74,Defensive Midfielder,328,200,53,75,3,74,2,0,Midfielder
Spain,Sevilla FC,Fernando Navarro,fernando-navarro,25.06.1982,176,69,Left Fullback,387,170,85,132,3,117,4,3,Defender
England,Chelsea FC,Fernando Torres,fernando-torres,20.03.1984,183,70,Center Forward,596,313,135,148,238,74,5,1,Forward
France,SC Bastia,Féthi Harek,fethi-harek,21.10.1982,175,61,missing,152,54,37,61,3,19,1,0,Missing
Germany,Bor. Mönchengladbach,Filip Daems,filip-daems,31.10.1978,181,79,Left Fullback,355,133,92,130,31,34,0,0,Defender
Germany,1899 Hoffenheim,Filip Malbašić,filip-malbasic,18.11.1992,NA,NA,Left Winger,58,29,12,17,6,8,0,1,Forward
England,Wigan Athletic,Filip Oršula,filip-orsula,25.02.1993,183,78,Center Forward,33,11,8,14,5,0,0,0,Forward
France,SC Bastia,Florent André,florent-andre,06.06.1991,175,61,missing,2,2,0,0,0,0,0,0,Missing
France,Lille OSC,Florent Balmont,florent-balmont,02.02.1980,170,64,Defensive Midfielder,410,176,127,107,14,86,0,4,Midfielder
France,FC Lorient,Florent Chaigneau,florent-chaigneau,21.03.1984,197,94,missing,24,10,4,10,0,0,0,0,Missing
France,Stade Reims,Florent Ghisolfi,florent-ghisolfi,28.02.1985,175,70,missing,93,34,25,34,1,22,0,0,Missing
England,Chelsea FC,Florent Malouda,florent-malouda,13.06.1980,181,73,Left Winger,604,338,137,129,105,64,3,0,Forward
Germany,Werder Bremen,Florian Hartherz,florian-hartherz,29.05.1993,187,82,Left Fullback,97,53,23,21,3,10,0,0,Defender
France,ESTAC Troyes,Florian Jarjat,florian-jarjat,18.02.1980,181,74,missing,181,57,56,68,6,23,1,0,Missing
France,Girondins Bordeaux,Florian Marange,florian-marange,03.03.1986,176,70,Left Fullback,146,57,43,46,2,15,1,0,Defender
France,Olympique Marseille,Florian Raspentino,florian-raspentino,06.09.1989,179,NA,missing,87,27,19,41,17,7,0,0,Missing
France,SC Bastia,Florian Thauvin,florian-thauvin,26.01.1993,170,70,missing,98,39,22,37,27,9,0,1,Missing
France,Stade Reims,Floyd Ayite,floyd-ayite,15.12.1988,174,68,Right Midfielder,129,41,41,47,16,12,0,1,Midfielder
France,AS Nancy,Fouad Rachid,fouad-rachid,15.11.1991,163,57,missing,9,4,0,5,0,1,0,0,Missing
France,Valenciennes FC,Foued Kadir,foued-kadir,05.12.1983,179,68,Attacking Midfielder,179,58,60,61,24,13,0,0,Midfielder
France,AC Ajaccio,Fousseni Diawara,fousseni-diawara,28.08.1980,183,71,missing,253,88,81,84,13,39,0,1,Missing
Spain,Espanyol Barcelona,Fran Miranda,fran-miranda,27.03.1988,189,84,Defensive Midfielder,63,20,17,26,2,28,0,0,Midfielder
Spain,Granada CF,Fran Rico,fran-rico,03.08.1987,178,71,missing,51,18,8,25,4,13,0,0,Missing
England,Arsenal FC,Francis Coquelin,francis-coquelin,13.05.1991,178,73,Defensive Midfielder,108,50,23,35,2,9,2,1,Midfielder
France,Lille OSC,Franck Béria,franck-beria,23.05.1983,180,72,Right Fullback,292,129,92,71,3,52,3,0,Defender
Germany,SpVgg Greuther Fürth,Franck Ohandza,franck-ohandza,28.09.1991,179,71,missing,10,3,1,6,3,1,0,0,Missing
Germany,Bayern München,Franck Ribéry,franck-ribery,07.04.1983,170,72,Left Midfielder,466,286,93,87,127,46,3,3,Midfielder
France,Stade Reims,Franck Signorino,franck-signorino,19.09.1981,173,69,Left Fullback,255,72,75,108,3,35,1,0,Defender
France,Toulouse FC,Franck Tabanou,franck-tabanou,30.01.1989,178,70,Left Midfielder,186,72,49,65,20,18,1,2,Midfielder
England,Wigan Athletic,Franco Di Santo,franco-di-santo,07.04.1989,194,78,Center Forward,177,52,52,73,21,20,0,1,Forward
Spain,Rayo Vallecano,Franco Vázquez,franco-vazquez,22.02.1989,187,81,Attacking Midfielder,71,29,18,24,10,8,0,0,Midfielder
Spain,Real Zaragoza,Franco Zuculini,franco-zuculini,05.09.1990,174,69,Defensive Midfielder,136,52,29,55,5,25,2,1,Midfielder
France,AS Saint-Étienne,François Clerc,francois-clerc,18.04.1983,186,77,Right Fullback,247,122,67,58,9,30,0,0,Defender
France,SC Bastia,François Marque,francois-marque,31.07.1983,187,85,Center Back,132,61,24,47,3,21,1,1,Defender
England,Chelsea FC,Frank Lampard,frank-lampard,20.06.1978,183,77,Center Midfielder,914,523,197,194,265,86,2,2,Midfielder
England,Wigan Athletic,Fraser Fyvie,fraser-fyvie,27.03.1993,NA,NA,Center Midfielder,81,26,23,32,2,16,0,1,Midfielder
England,Southampton FC,Frazer Richardson,frazer-richardson,29.10.1982,180,75,missing,242,106,65,71,6,8,0,0,Missing
England,Sunderland AFC,Frazier Campbell,frazier-campbell,13.09.1987,172,82,Center Forward,194,74,47,73,45,21,1,0,Forward
France,FC Sochaux,Frédéric Duplus,frederic-duplus,07.04.1990,175,66,Left Fullback,79,29,17,33,2,11,0,0,Defender
England,West Ham United,Frédéric Piquionne,frederic-piquionne,08.12.1978,188,77,Center Forward,389,132,118,139,82,32,3,4,Forward
France,AC Ajaccio,Frédéric Sammaritano,frederic-sammaritano,23.03.1986,162,61,missing,190,50,66,74,24,16,0,1,Missing
Spain,Atlético Madrid,Gabi,gabi,10.07.1983,180,74,Defensive Midfielder,383,186,85,112,25,112,7,0,Midfielder
England,Aston Villa,Gabriel Agbonlahor,gabriel-agbonlahor,13.10.1986,178,76,Right Winger,342,131,97,114,81,39,0,0,Forward
England,Newcastle United,Gabriel Obertan,gabriel-obertan,26.02.1989,186,79,Right Winger,168,85,38,45,7,4,0,0,Forward
England,West Bromwich Albion,Gabriel Tamaş,gabriel-tamas,09.11.1983,188,79,Center Back,278,108,66,104,9,59,4,3,Defender
Spain,Granada CF,Gabriel Torje,gabriel-torje,22.11.1989,167,64,Right Midfielder,265,115,68,82,43,44,0,0,Midfielder
France,SC Bastia,Gaël Angoula,gael-angoula,18.07.1982,177,75,missing,71,30,18,23,1,13,0,1,Missing
England,Newcastle United,Gael Bigirimana,gael-bigirimana,22.10.1993,173,NA,missing,54,12,15,27,1,7,0,1,Missing
England,Manchester City,Gaël Clichy,gael-clichy,26.07.1985,176,72,Left Fullback,389,237,86,66,2,49,1,0,Defender
France,Valenciennes FC,Gaël Danic,gael-danic,19.11.1981,176,65,Left Midfielder,267,87,78,102,33,20,1,1,Midfielder
France,Valenciennes FC,Gaëtan Bong,gaetan-bong,25.04.1988,183,74,Left Fullback,188,73,50,65,3,28,0,0,Defender
France,Montpellier HSC,Gaëtan Charbonnier,gaetan-charbonnier,27.12.1988,188,80,missing,151,54,43,54,34,18,1,1,Missing
France,Stade Reims,Gaetan Courtet,gaetan-courtet,22.02.1989,180,72,missing,88,29,29,30,16,7,0,0,Missing
Spain,Espanyol Barcelona,Galán,galan_5,17.06.1986,182,75,Right Fullback,94,25,23,46,2,30,3,1,Defender
Spain,Rayo Vallecano,Gálvez,galvez_2,06.06.1989,188,79,Center Back,73,31,9,33,4,35,2,0,Defender
England,Reading FC,Garath McCleary,garath-mccleary,15.05.1987,188,76,missing,202,63,62,77,21,15,0,2,Missing
England,Tottenham Hotspur,Gareth Bale,gareth-bale,16.07.1989,183,74,Left Winger,336,162,78,96,93,32,0,1,Forward
England,Manchester City,Gareth Barry,gareth-barry,23.02.1981,184,78,Center Midfielder,680,314,170,196,65,105,2,2,Midfielder
England,West Bromwich Albion,Gareth McAuley,gareth-mcauley,05.12.1979,191,71,missing,368,118,107,143,26,37,0,3,Missing
Germany,SC Freiburg,Garra Dembélé,garra-dembele,21.02.1986,187,79,Center Forward,99,39,21,39,45,24,2,0,Forward
England,Norwich City,Garrido,garrido_2,15.03.1985,178,75,Left Fullback,218,84,47,87,4,32,0,0,Defender
France,Montpellier HSC,Garry Bocaly,garry-bocaly,19.04.1988,180,74,Right Fullback,137,61,35,41,7,29,0,3,Defender
England,Chelsea FC,Gary Cahill,gary-cahill,19.12.1985,188,71,Center Back,360,153,76,131,31,43,0,4,Defender
England,Wigan Athletic,Gary Caldwell,gary-caldwell,12.04.1982,180,74,Center Back,437,174,101,162,17,69,2,7,Defender
England,Aston Villa,Gary Gardner,gary-gardner,26.06.1992,188,82,missing,29,7,6,16,3,3,0,0,Missing
Spain,Sevilla FC,Gary Medel,gary-medel,03.08.1987,171,76,Defensive Midfielder,300,121,74,105,28,77,6,10,Midfielder
England,West Ham United,Gary O'Neil,gary-oneil,18.05.1983,178,70,missing,369,133,93,143,29,59,0,0,Missing
England,Southampton FC,Gastón Ramírez,gaston-ramirez,02.12.1990,182,66,Attacking Midfielder,161,69,42,50,30,29,0,2,Midfielder
Spain,Getafe CF,Gavilán,gavilan,12.05.1985,178,71,Left Midfielder,225,88,54,83,15,28,2,0,Midfielder
Spain,Valencia CF,Gayá,gaya,25.05.1995,169,55,Left Midfielder,33,11,5,17,0,6,0,0,Midfielder
France,Olympique Marseille,Gennaro Bracigliano,gennaro-bracigliano,01.03.1980,183,82,Goalkeeper,159,52,49,58,0,9,0,1,Defender
England,Stoke City,Geoff Cameron,geoff-cameron,11.07.1985,191,92,Center Back,242,91,73,78,16,37,0,2,Defender
France,Stade Brest,Geoffrey Dernis,geoffrey-dernis,24.12.1980,171,66,Left Midfielder,277,116,66,95,29,46,0,1,Midfielder
France,Montpellier HSC,Geoffrey Jourdren,geoffrey-jourdren,04.02.1986,181,73,Goalkeeper,190,79,53,58,0,10,0,1,Defender
Spain,Sevilla FC,Geoffrey Kondogbia,geoffrey-kondogbia,15.02.1993,188,76,Defensive Midfielder,121,57,27,37,6,21,0,1,Midfielder
Germany,VfB Stuttgart,Georg Niedermeier,georg-niedermeier,26.02.1986,188,74,Right Fullback,226,90,66,70,9,47,3,1,Defender
England,Manchester City,George Evans,george-evans,13.12.1994,184,NA,Center Midfielder,26,7,7,12,1,7,0,0,Midfielder
England,West Ham United,George McCartney,george-mccartney,29.04.1981,180,74,Left Fullback,410,157,96,157,2,64,1,1,Defender
England,West Ham United (R),George Moncur,george-moncur,18.10.1993,NA,NA,missing,23,7,4,12,2,2,0,0,Missing
England,West Bromwich Albion,George Thorne,george-thorne,04.01.1993,188,83,missing,63,25,14,24,2,7,0,0,Missing
France,ESTAC Troyes,Georges Gope-Fenepej,georges-gope-fenepej,23.10.1988,178,NA,Center Forward,29,11,3,15,10,2,0,1,Forward
Germany,SpVgg Greuther Fürth,Gerald Asamoah,gerald-asamoah,03.10.1978,180,85,Right Winger,537,259,125,153,91,76,2,2,Forward
Spain,Deportivo La Coruña,Germán Lux,german-lux,07.06.1982,186,78,Goalkeeper,162,66,46,50,0,13,0,0,Defender
Spain,RCD Mallorca,Geromel,geromel,21.09.1985,190,84,Center Back,201,61,46,94,7,41,2,1,Defender
Germany,Fortuna Düsseldorf,Gerrit Wegkamp,gerrit-wegkamp,13.04.1993,193,82,Center Forward,98,39,24,35,30,0,0,0,Forward
England,Arsenal FC,Gervinho,gervinho,27.05.1987,179,68,Right Winger,341,157,83,101,88,32,0,2,Forward
France,Lille OSC,Gianni Bruno,gianni-bruno,19.08.1991,180,74,Center Forward,63,17,20,26,12,11,0,1,Forward
Germany,FC Augsburg,Gibril Sankoh,gibril-sankoh,15.05.1983,186,80,Center Back,245,102,58,85,1,40,2,2,Defender
France,Valenciennes FC,Gil,gil_9,12.06.1987,188,NA,Center Back,166,73,44,49,4,38,2,3,Defender
France,SC Bastia,Gilles Cioni,gilles-cioni,14.06.1984,165,65,missing,61,25,14,22,0,5,0,1,Missing
France,FC Lorient,Gilles Sunu,gilles-sunu,30.03.1991,181,75,missing,91,36,23,32,9,1,0,0,Missing
England,Fulham FC,Giorgios Karagounis,giorgios-karagounis,06.03.1977,176,83,Attacking Midfielder,441,223,103,115,37,66,1,1,Midfielder
Spain,RCD Mallorca,Giovani Dos Santos,giovani-dos-santos,11.05.1989,175,74,Right Winger,251,109,57,85,53,20,0,0,Forward
Germany,FC Augsburg,Giovanni Sio,giovanni-sio,31.03.1989,181,77,Left Midfielder,125,53,36,36,35,30,1,2,Midfielder
England,Liverpool FC,Glen Johnson,glen-johnson,23.08.1984,178,70,Right Fullback,416,219,93,104,17,59,2,0,Defender
Spain,Real Zaragoza,Glenn Loovens,glenn-loovens,22.09.1983,190,83,Center Back,287,136,62,89,11,51,3,1,Defender
England,Stoke City,Glenn Whelan,glenn-whelan,13.01.1984,178,76,Center Midfielder,412,156,107,149,23,65,1,1,Midfielder
England,Tottenham Hotspur,Gomes,gomes,15.02.1981,191,82,Goalkeeper,332,188,68,76,0,12,0,1,Defender
Spain,Real Zaragoza,Goni,goni_3,12.10.1988,186,82,Center Back,45,13,9,23,0,14,1,0,Defender
Germany,Bayer Leverkusen,Gonzalo Castro,gonzalo-castro,11.06.1987,171,74,Right Midfielder,371,177,78,116,34,76,3,1,Midfielder
Spain,Real Madrid,Gonzalo Higuaí­n,gonzalo-higuain,10.12.1987,184,82,Center Forward,378,246,66,66,177,39,1,1,Forward
England,West Bromwich Albion,Gonzalo Jara,gonzalo-jara,29.08.1985,178,71,Center Back,253,102,64,87,6,45,1,6,Defender
England,West Bromwich Albion,Goran Popov,goran-popov,02.10.1984,189,89,Left Fullback,201,84,43,74,6,40,2,1,Defender
Germany,VfB Stuttgart,Gōtoku Sakai,gotoku-sakai,14.03.1991,176,74,Right Fullback,173,71,46,56,2,13,0,1,Defender
England,Aston Villa,Graham Burke,graham-burke,21.09.1993,180,75,Center Forward,9,2,1,6,0,0,0,0,Forward
England,West Bromwich Albion,Graham Dorrans,graham-dorrans,05.05.1987,175,63,missing,192,73,42,77,25,26,1,0,Missing
France,ESTAC Troyes,Granddi Ngoyi,granddi-ngoyi,17.05.1988,186,77,Defensive Midfielder,146,46,48,52,3,13,1,1,Midfielder
England,Queens Park Rangers,Granero,granero_2,02.07.1987,179,77,Center Midfielder,213,112,42,59,20,47,0,1,Midfielder
Germany,Bor. Mönchengladbach,Granit Xhaka,granit-xhaka,27.09.1992,185,82,Center Midfielder,149,78,37,34,8,27,1,0,Midfielder
England,Norwich City,Grant Holt,grant-holt,12.04.1981,183,79,Center Forward,224,91,63,70,83,41,1,2,Forward
France,ESTAC Troyes,Grégory Bettiol,gregory-bettiol,30.03.1986,180,79,missing,99,33,29,37,12,5,0,0,Missing
France,FC Lorient,Gregory Bourillon,gregory-bourillon,01.07.1984,187,76,Center Back,285,105,83,97,5,36,2,2,Defender
France,Stade Brest,Grégory Lorenzi,gregory-lorenzi,17.12.1983,186,80,missing,177,63,39,75,9,32,1,2,Missing
France,Valenciennes FC,Grégory Pujol,gregory-pujol,25.01.1980,183,70,Center Forward,310,94,97,119,76,15,0,1,Forward
France,Girondins Bordeaux,Grégory Sertić,gregory-sertic,05.08.1989,181,69,Left Midfielder,138,63,40,35,5,15,1,0,Midfielder
